Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022/9/14,153.4392395,155.2076868,151.7597196,152.9254988,87965400
2022/9/15,150.5346527,153.3700929,149.5565872,152.7871882,90481100
2022/9/16,148.8847504,149.5269299,146.5828144,149.3886168,162278800
2022/9/19,152.6192169,152.6982551,147.3040316,147.5114936,81474200
2022/9/20,155.0100861,156.1758804,151.236107,151.5522446,107689800
2022/9/21,151.8683777,156.8279138,151.749828,155.4447684,101696800
2022/9/22,150.9001923,152.6093495,149.0922335,150.544528,86652500
2022/9/23,148.6180267,149.6455081,146.7705562,149.368882,96029900
2022/9/26,148.9539337,151.9177978,147.8375401,147.8573034,93339400
2022/9/27,149.9319916,152.856344,148.1437961,150.900198,84442700
2022/9/28,148.0351257,148.8254925,143.0953523,145.8616284,146691400
2022/9/29,140.7637634,144.9526962,138.9854422,144.3401692,128138200
2022/9/30,136.5353088,141.3762949,136.337721,139.5782105,124925300
2022/10/3,140.7341309,141.346673,136.0314724,136.545213,114311700
2022/10/4,144.3401489,144.4586986,142.5223013,143.2830304,87830100
2022/10/5,144.6365509,145.6047573,141.2873853,142.3346299,79471000
2022/10/6,143.6782532,145.7628383,143.4707911,144.0536808,68402200
2022/10/7,138.4025574,141.3763104,137.770267,140.8230431,85925600
2022/10/10,138.7285767,140.1808711,136.9008698,138.7285767,74899000
2022/10/11,137.3059387,139.6474016,136.5550986,138.2148552,77033700
2022/10/12,136.673645,138.6693177,136.4958204,137.4541376,70433700
2022/10/13,141.2676239,141.8603876,132.7514456,133.3639876,113224000
2022/10/14,136.71315,142.7791901,136.5254363,142.571713,88598000
2022/10/17,140.6946106,141.1786987,138.5803885,139.3707551,85250900
2022/10/18,142.0184937,144.9329571,138.9163164,143.7375403,99136600
2022/10/19,142.1271362,143.204003,139.795563,139.9832768,61758300
2022/10/20,141.6628113,144.1326978,140.9317194,141.2972729,64522000
