Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-06-29,17.710533142089844,18.38674068512302,17.558577481794934,18.333554682390886,119882100
2010-06-30,17.48259735107422,17.99165173797221,17.437010802012235,17.702933545849028,81050500
2010-07-01,17.59656524658203,17.718130349042294,17.269858490281198,17.543380695401957,92239400
2010-07-02,17.680143356323242,17.839697023926824,17.512990238829442,17.748523913630624,62485100
2010-07-06,18.098024368286133,18.303166052864622,17.915676687273216,18.00685125236495,73592000
2010-07-07,18.46271324157715,18.47790923861355,17.938464386351626,18.09801800772373,79965300
2010-07-08,18.546289443969727,18.70584451165447,18.211984761005997,18.690648514890203,50758100
2010-07-09,18.43992805480957,18.546297178177618,18.34875348537223,18.48551461494293,53806100
2010-07-12,18.865400314331055,18.91098686073166,18.553889590448232,18.56148758971003,49854200
2010-07-13,19.093334197998047,19.222497285095677,18.918584565210125,19.100932197141457,61928700
2010-07-14,19.328866958618164,19.45803003993342,19.08573679359418,19.374453502267638,72808100
2010-07-15,19.382057189941406,19.442839749037827,18.979371830196047,19.374459188908038,56934700
2010-07-16,18.910991668701172,19.480828715680957,18.903393667507643,19.38205759850617,65064800
2010-07-19,19.169313430786133,19.222497977535667,18.926183246119564,18.964171794034886,38181800
2010-07-20,19.359256744384766,19.359256744384766,18.76662735270505,18.888192430442945,45530700
2010-07-21,19.08573341369629,19.488417134767108,18.979362898457907,19.450428596648294,73297300
2010-07-22,19.63277816772461,19.74674524274234,19.35165803012222,19.382050023017605,73016400
2010-07-23,19.6099853515625,19.769540425512158,19.18450756964686,19.6327793476039,108520100
2010-07-26,19.8303279876709,19.906306544546506,19.602392317044075,19.647980320671703,67249900
2010-07-27,19.87590980529785,19.936692346478544,19.723952727761073,19.860713807710155,60672100
2010-07-28,19.716358184814453,19.89870582691538,19.62518363917887,19.807531281279793,69704800
2010-07-29,19.777143478393555,20.065860256184724,19.450436697491416,19.853120586274613,69446200
2010-07-30,19.6099853515625,19.6327793476039,19.26048610728146,19.56439880864977,83534800
2010-08-02,20.00507926940918,20.043067826329214,19.564405342952224,19.74675302467539,55044600
2010-08-03,19.87590980529785,20.02026888404078,19.73155072655492,19.906301800473244,56877700
2010-08-04,19.5492000579834,19.936689241092875,19.328863923962246,19.868308711769444,78531900
2010-08-05,19.275686264038086,19.43523992324689,19.1541197080885,19.36685936953729,64922100
2010-08-06,19.41244125366211,19.420039252154815,19.009757477738955,19.131322555282175,55982100
2010-08-09,19.458038330078125,19.549211456221606,19.275690628620453,19.412450317835674,57096500
2010-08-10,19.047746658325195,19.252888276981697,18.903387580473943,19.24529027823478,87257700
2010-08-11,18.888193130493164,18.91858367646898,18.660257514409146,18.751432050676772,76746900
2010-08-12,18.60706901550293,18.75142806340957,18.508297950621404,18.55388448447674,70240500
2010-08-13,18.538694381713867,18.74383602301136,18.417129286686514,18.500705832956662,45263500
2010-08-16,18.614673614501953,18.698250163852578,18.462716515531778,18.50830451472501,40909700
2010-08-17,18.8743839263916,19.065342896704273,18.790362970146926,18.8743839263916,52912600
2010-08-18,18.958398818969727,19.057698260006166,18.645226348440794,18.85146230422348,46818900
2010-08-19,18.668140411376953,18.89729048332347,18.492457135523953,18.805631037305112,54064600
2010-08-20,18.507736206054688,18.637588316104175,18.484822070511168,18.56884299567205,49560100
2010-08-23,18.545927047729492,18.820906845684842,18.51537292745632,18.668140615020903,51643000
2010-08-24,18.36260986328125,18.599398508628134,18.332055737739257,18.40080106330785,66522500
2010-08-25,18.408435821533203,18.500095265570046,18.232754006378755,18.332051980235438,47404800
2010-08-26,18.194564819335938,18.477184648844315,18.17165068241693,18.400800793012248,49105300
2010-08-27,18.27859115600586,18.347336495418848,17.957780057712313,18.240398491386873,60939400
2010-08-30,18.057071685791016,18.19456231599156,18.026519021802375,18.133455531113615,45453100
2010-08-31,17.927217483520508,18.125814875309846,17.812642457422946,18.026516907865428,66074600
2010-09-01,18.255672454833984,18.293865112962443,17.98069260081377,18.079990598145887,65235900
2010-09-02,18.286218643188477,18.293857171498242,18.110535405864503,18.24038747332989,48837100
2010-09-03,18.55356788635254,18.675781468850552,18.484822564084805,18.515375231258894,64189100
2010-09-07,18.301498413085938,18.56120260719289,18.270945749785458,18.408436376889213,51928700
2010-09-08,18.27859115600586,18.48482717424482,18.133461944256087,18.385527703136646,65512400
2010-09-09,18.339693069458008,18.492459316472296,18.324416007686338,18.477183711601427,46028900
